video_id,comments_disabled,ratings_disabled
6SevTnFTdpA,False,False
QzT0lJPLbdQ,False,False
jwkNAJBwoEA,False,False
532MxrRNJcM,False,False
jyNFL5t2A-U,False,False
hDYPVhwULCc,False,False
fIElFIuzGLI,False,False
2PH7dK6SLC8,False,False
yExDk_Re0Kw,False,False
yI2k6OKsSVw,False,False
Xqy62kBAiLk,False,False
hlrvK4xnLKA,False,False
6ZJghIk7_VA,False,False
vvUe5hNEXwE,False,False
NaY91YjVbEM,False,False
37R2_bvJjGM,False,False
p8XP7A7kvzM,False,False
DfSLEBm9WHI,False,False
uHRwMmwbFnA,False,False
2GrKY7Qqal8,False,False
-7AZX5Xtiks,False,False
Qj7DVNDb7To,False,False
wHedpg7buow,False,False
t3z_pdr6z8w,False,False
9SCNLl0MQPM,False,False
jCVkaZChKmc,False,False
tCnbAAgfxH8,False,False
bvf5DlhvJJE,False,False
PJBmeqpw3DY,False,False
xvmTr6S00Aw,False,False
quouML5-UZI,False,False
O4Kb40pnoOY,False,False
tEmodtG8NV0,False,False
c47kn_Y4y8A,False,False
oGmIFXfgPM4,False,False
v0eafGbrSJ8,False,False
x9mh-SwSKas,False,False
3BJU2drrtCM,False,False
4Mayo-iUQDk,False,False
zGoE6Hco4jE,False,False
MXdXoQBVFmE,False,False
S6YYun90S8g,False,False
xIbQZpwVweE,False,False
caN18WcW5XU,False,False
GhHBfDK4lE8,False,False
SphTGtDlhHw,False,False
piyds9slayg,False,False
FR5WT12B_88,False,False
d380meD0W0M,False,False
iGXYZwZEZa0,False,False
Of9GOMM9HPg,False,False
SFdO-19Xdho,False,False
8WbxbqwdWog,False,False
jDC_QZAFxKI,False,False
mG9kK9TgxkQ,False,False
yfxJHGhaECA,False,False
iDbdXTMnOmE,False,False
8BAhwgjMvnM,False,False
DD4jmj9AevM,False,False
c_KdAO6MqiM,False,False
sYorT6jRNDc,False,False
-v-_Z11T5L4,False,False
cAqmb-Pz4iM,False,False
W_pH4u5-NhE,False,False
Fmdb-KmlzD8,False,False
t0Ro2Yqs6mA,False,False
HDYJVmoWoyA,False,False
z7WjD5G5ZuY,False,False
x2u-KEex34A,False,False
OSBl32lNGBg,False,False
IzQwbRdh5Ts,False,False
Ra7MMVEe_s4,False,False
3fArI2PZBUo,False,False
e22yH5hUQ_A,False,False
3oHhw_9bQk0,False,False
hgtR0o6OjjU,False,False
9kF9xY74h-E,False,False
TzQe4sqjZT8,False,False
xutm6oMTBw8,False,False
iveV0Q77gvU,False,False
cI5RYgvPHLU,False,False
buBEYGmiAJc,False,False
bDkmVRppq8I,False,False
5YgluF8VTWg,False,False
sxxJug2Ob_A,False,False
qmDsgGKHBEo,False,False
t6rHHnABoT8,False,False
LzuDyq0-1LM,False,False
wbSwFU6tY1c,False,False
Ob48twC1yf8,True,False
H8bmr4oR19c,False,False
-1Hm41N0dUs,False,False
J0VUaYYK-zk,False,False
qfZcxeqa1g4,False,False
rM7t9jLrNnE,False,False
bR1d8l92Q8Q,False,False
tJFk9dPdxO0,False,False
kzFHjyysXr0,False,False
AKstzozuLKY,False,False
VFnXRntc9XA,False,False
LIEOeqNRikk,False,False
HNa_UWX51_s,False,False
SGKcrxK9hsg,False,False
z1Fvrmf4BXc,False,False
qTJs_9Ckc60,False,False
fEMxFSjmo5Q,False,False
-HrakxB4Klo,False,False
Oy9R-z7YTRc,False,False
sefscV3GvWM,False,False
-66xHRJSPxs,False,False
N-3NfWJHNhg,False,False
gNG0GiSrwas,False,False
Mhzmc7LRIGo,False,False
QtNvvWsSsoE,False,False
d6mBbyb-vIA,False,False
LTyKOzyqyCM,False,False
Hgiu9cqph5Y,False,False
TSqwDQHE1J8,False,False
sun1x0ANt-Y,False,False
YF8415hDtEg,False,False
cZAryCaRE3k,False,False
GM1QDBvzm1Y,False,False
5PR3Hn6cQ60,False,False
uyl6WtHEYOQ,False,False
Y0D0s9eIKuw,False,False
Ff7wbSwTuEk,False,False
0PWu3BRxn60,False,False
5vQcI9phkyk,False,False
