video_id,total_views,total_likes,total_comments,comments_disabled,ratings_disabled
VYOjWnS4cMY,225211923,5023450,517232,False,False
FlsCjmMhFmw,149376127,3093544,827755,False,False
ffxKSjUwKdU,148689896,3094021,242039,False,False
zEf423kYfqk,139334502,1425496,83941,False,False
7C2z4GqqS5E,123010920,5613827,1228655,False,False
M4ZoCHID9GI,122544931,1427436,55320,False,False
TyHvyGVs42U,102012605,2376636,134224,False,False
xTlNMmZKwpA,94254507,1816753,101077,False,False
6ZfuNTqbHE8,91933007,2625661,350458,False,False
-BQJo3vK8O8,87264467,815369,35945,False,False
tCXGJQYZ9JA,71560694,1928392,162990,False,False
DkeiKbqa02g,71017021,828626,26279,False,False
i0p1bmr0EmE,69295519,1324609,238744,False,False
aJOTlE1K90k,66529577,2488565,142410,False,False
U9BwWKXjVaI,60635812,994986,55653,False,False
vjI4Alon-3Q,59877217,853193,48391,False,False
u9Mv98Gr5pY,59254638,1295189,139879,False,False
LsoLEjrDogU,57951412,1919583,133601,False,False
BhIEIO0vaBE,56111957,0,0,True,True
iWZmdoY1aTE,55054077,1378923,67092,False,False
ulNswX3If6U,54863912,922355,41774,False,False
_9YMpuLDnwo,54155921,378111,24679,False,False
QwievZ1Tx-8,52404970,1565579,194290,False,False
rRr1qiJRsXk,48654951,811144,48941,False,False
l_lblj8Cq0o,45938392,728696,43541,False,False
dfnCAmr569k,45141770,1844959,148768,False,False
J-dv_DcDD_A,44782227,1320316,85709,False,False
2Vv-BfVoq4g,43449654,1788960,93428,False,False
yDiXQl7grPQ,42799458,564804,180913,False,False
oWw1BcFhk-k,42390420,554509,21650,False,False
n_W54baizX8,41803845,628861,39363,False,False
rsEne1ZiQrk,41604561,670203,26743,False,False
LryQJ25CnKU,41446137,502519,36974,False,False
rRzxEiBLQCA,41088994,956937,157207,False,False
1J76wN0TPI4,40714581,778513,76944,False,False
QgOXIEhHU1Y,40087764,835657,38305,False,False
vn9mMeWcgoM,38070298,550348,78613,False,False
QwZT7T-TXT0,37539570,1402578,1361580,False,False
kTlv5_Bs8aw,36857298,2729292,546100,False,False
Wpm07-BGJnE,36759844,834068,93136,False,False
ZJDMWVZta3M,36152111,444698,48348,False,False
817P8W8-mGE,36101955,998395,50709,False,False
